id,provider,title,description,format,category,skill level,is_paid,duration_hrs,prerequisities,rating,URL
1,datacamp,Introduction to Python,"Python is a general-purpose programming language that is becoming ever more popular for data science. Companies worldwide are using Python to harvest insights from their data and gain a competitive edge. Unlike other Python tutorials, this course focuses on Python specifically for data science. In our Introduction to Python course, you’ll learn about powerful ways to store and manipulate data, and helpful data science tools to begin conducting your own analyses.",interactive course,"programming language, machine learning, data science",beginner,yes,4,,,https://app.datacamp.com/learn/courses/intro-to-python-for-data-science
2,datacamp,Introduction to R,"In this introduction to R course, you'll master the basics of this widely used open source language—including vectors, factors, lists, and data frames. With the coding skills you'll gain in this course, you'll be ready to undertake your own data analysis in R. There are millions of R users worldwide, cementing it as a leading programming language in statistics and data science.",interactive course,"programming language, machine learning, data science",beginner,yes,4,,,https://app.datacamp.com/learn/courses/free-introduction-to-r
3,datacamp,Introduction to SQL,"Much of the world's raw data—from electronic medical records to customer transaction histories—lives in organized collections of tables called relational databases. Being able to wrangle and extract data from these databases using SQL is an essential skill within the data industry and in increasing demand. In this two-hour introduction to SQL, you'll get to know the theory and the practice through bite-sized videos and interactive exercises where you can put your new-found skills to the test. SQL is an essential language for building and maintaining relational databases, which opens the door to a range of careers in the data industry and beyond. You’ll start this course by covering data organization, tables, and best practices for database construction. The second half of this course looks at creating SQL queries for selecting data that you need from your database. You’ll have the chance to practice your querying skills before moving on to customizing and saving your results. PostgreSQL and SQL Server are two of the most popular SQL flavors. You’ll finish off this course by looking at the differences, benefits, and applications of each. By the end of the course you’ll have some hands-on experience in learning SQL and the grounding to start applying it on projects or continue your learning in a more specialized direction.",interactive course,"database management, data science, data analytics",beginner,yes,2,,,https://app.datacamp.com/learn/courses/introduction-to-sql
4,datacamp,Introduction to Tableau,"Tableau is a widely used business intelligence (BI) and analytics software trusted by companies like Amazon, Experian, and Unilever to explore, visualize, and securely share data in the form of Workbooks and Dashboards. With its user-friendly drag-and-drop functionality it can be used by everyone to quickly clean, analyze, and visualize your team’s data. You’ll learn how to navigate Tableau’s interface and connect and present data using easy-to-understand visualizations. By the end of this training, you’ll have the skills you need to confidently explore Tableau and build impactful data dashboards. Let’s dive in.",interactive course,"data science, data analytics",beginner,yes,6,,,https://app.datacamp.com/learn/courses/introduction-to-tableau
5,datacamp,Introduction to Power BI,"Gain a 360° overview of exploring and using Power BI to build impactful reports. In this course, you’ll go from zero to hero as you discover how to use this popular business intelligence platform through hands-on exercises. Before diving into creating visualizations using Power BI's drag-and-drop functionality, you’ll first learn how to confidently load and transform data using Power Query and the importance of data models. You’ll also learn to drill down into reports and make your reports fully interactive. ",interactive course,"data science, data analytics",beginner,yes,3,,,https://app.datacamp.com/learn/courses/introduction-to-power-bi
6,datacamp,Data Engineer,"In this track, you’ll discover everything you need to know to become a data engineer by learning Python, SQL, and Git from scratch. You'll discover how to interact with relational databases to query, input, and modify data and get hands-on experience in importing and cleaning data in Python, optimizing your code for efficiency, and writing tests to validate your code. Throughout this track, you’ll learn some of the essential data engineering tools, starting with SQL and Python, before moving on to topics such as cloud computing, clearing data, and working with Git. These foundational skills will allow you to work with data in various ways, building the knowledge you need to become a data engineer.  You'll also learn the key concepts and skills required by data engineers such as how to interpret data visualizations, create functions, and utilize version control. By the end of this track, you'll be equipped with the necessary tools and knowledge to progress your career by handling common data engineering duties.",interactive course,"data science, data analytics, database management",any,yes,57,,,https://app.datacamp.com/learn/career-tracks/data-engineer
7,datacamp,Data Scientist Professional with Python,"Master the skills you need to pass the Data Scientist Professional with Python certification and prepare yourself for success in the field of data science. Throughout this track, you will focus on using Python for data science, starting with the basics and progressing to more advanced topics such as machine learning. You’ll cover a broad range of areas, including data manipulation, visualization, and analysis, using popular Python libraries such as pandas, Seaborn, Matplotlib, and scikit-learn. As you progress, you’ll work through interactive exercises using real-world datasets to help you test your abilities and develop your skills. These examples will help you explore various statistical and machine learning techniques, including hypothesis testing and predictive modeling. You’ll also gain an understanding of package development, data preprocessing, SQL for relational databases, Git for data science projects, and more. Complete this track to gain the knowledge and experience necessary to confidently pass the Data Scientist Professional with Python certification and thrive as a data scientist.",interactive course,data science,any,yes,116,,,https://app.datacamp.com/learn/career-tracks/data-scientist-professional-with-python
8,datacamp,Data Scientist Professional with R,"Master the skills you need to pass the Data Scientist Professional with R certification and prepare yourself for success in the field of data science. As you progress through the courses in this track, you will focus on using R for data science. You will explore how learning data science with R can help you to import, clean, manipulate, and visualize data, and develop a solid foundation for your data science journey. You’ll cover a range of different skills, including data manipulation, visualization, and analysis, using popular R packages like ggplot2, dplyr, and readr. You will work with real-world datasets as you write your own functions and learn foundational statistical and machine learning techniques. You will also gain an understanding of SQL for relational databases and Git for data science projects, two essential tools for any data scientist. Through interactive exercises, you will get hands-on experience with R programming and the popular packages used in the field of data science. Completing this track will give you the knowledge and experience necessary to confidently pass the Data Scientist Professional with R certification and thrive as a data scientist.",interactive course,data science,any,yes,107,,,https://app.datacamp.com/learn/career-tracks/data-scientist-professional-with-r
9,datacamp,Machine Learning Scientist with Python,"Master the essential Python skills to land a job as a machine learning scientist! With this track, you'll gain a comprehensive introduction to machine learning in Python. You’ll augment your existing Python programming skill set with the tools needed to perform supervised, unsupervised, and deep learning. You'll learn how to process data for features, train your models, assess performance, and tune parameters for better performance. This track also covers topics including tree-based machine learning models, cluster analysis, preprocessing for machine learning, and more. By the time you finish, you’ll have the confidence to use Python for machine learning, working with real data sets, linear classifiers, gradient boosting, and more. In the process, you'll get an introduction to natural language processing, image processing, and popular Python machine learning packages such as scikit-learn, Spark, and Keras.",interactive course,machine learning,any,yes,93,,,https://app.datacamp.com/learn/career-tracks/machine-learning-scientist-with-python?version=2
10,datacamp,Python Programmer,"Gain the career-building skills you need to successfully develop software, wrangle data, perform advanced data analysis, and become a Python programmer. No prior coding experience is required; you can start your journey to becoming a Python programmer today! In this track, you’ll learn how to manipulate data, write efficient Python code, and work with challenging data, including date and time data, text data, and web data using APIs. As your skills grow, you'll progress to writing Python functions and unit testing—an essential skill needed to find bugs in your code before your users do! Through interactive exercises, you'll also gain experience working with powerful Python libraries, including NumPy, pytest, and pycodestyle, that will help you perform key programmer tasks such as web development, data analysis, and task automation. By the time you finish this track, you’ll have a firm grasp of what’s needed to become a Python programmer and have the skills to get started as one.",interactive course,programming language,any,yes,67,,,https://app.datacamp.com/learn/career-tracks/python-programmer
11,datacamp,Statistician with R,"Master the essential skills to land a job as a statistician! Using statistics, you can help solve real-world problems in business, engineering, the sciences, and many other fields. In this track, you'll learn how to use statistical methods to explore and model data, draw conclusions from a wide variety of datasets, and interpret and report findings.",interactive course,"data science, data analytics",any,yes,52,,,https://app.datacamp.com/learn/career-tracks/statistician-with-r
12,datacamp,SQL Server Developer,"Learn the basics of database design and the different SQL data types. Then master the core concepts for the exam. In this track, you’ll learn how to write queries, functions, and stored procedures. You’ll also find out how to manage transactions, handle errors, and improve query performance.",interactive course,database management,any,yes,41,,,https://app.datacamp.com/learn/career-tracks/sql-server-developer
13,datacamp,Data Analyst with R,"Gain the career-building R skills you need to succeed as a data analyst! No prior coding experience required. In this track, you’ll learn how to import, clean, manipulate, and visualize data in R—all integral skills for any aspiring data professional or researcher. Through interactive exercises, you’ll get hands-on with some of the most popular R packages, including ggplot2 and tidyverse packages like dplyr and readr. You’ll also develop your data manipulation and exploratory data analysis skills by working with a wide range of real-world datasets, including everything from U.S. income data to global food consumption. You’ll then gain the statistical skills you'll need to perform hypothesis testing. Start this track, grow your R skills, and begin your journey to becoming a confident data analyst.",interactive course,data analytics,any,yes,36,,,https://app.datacamp.com/learn/career-tracks/data-analyst-with-r
14,datacamp,Quantitative Analyst with R,"In finance, quantitative analysts ensure portfolios are risk balanced, help find new trading opportunities, and evaluate asset prices using mathematical models.",interactive course,data analytics,any,yes,65,,,https://app.datacamp.com/learn/career-tracks/quantitative-analyst-with-r
15,datacamp,Machine Learning Scientist with R,"Master the essential skills to land a job as a machine learning scientist! You'll augment your R programming skillset with the toolbox to perform supervised and unsupervised learning. You'll learn how to process data for modeling, train your models, visualize your models and assess their performance, and tune their parameters for better performance. In the process, you'll get an introduction to Bayesian statistics, natural language processing, and Spark.",interactive course,machine learning,any,yes,57,,,https://app.datacamp.com/learn/career-tracks/machine-learning-scientist-with-r
16,datacamp,Data Analyst with Python,"Start your journey to becoming a data analyst using Python - one of the most popular programming languages in the world. No prior coding experience is required; you’ll start from scratch and learn how to import, clean, manipulate, and visualize data—all integral skills for any aspiring data professional or researcher. You’ll begin your data analyst training with interactive exercises and get hands-on with some of the most popular Python libraries, including pandas, NumPy, Seaborn, and many more. You’ll learn why Python for data analysis is so popular and work with real-world datasets to grow your data manipulation and exploratory data analysis skills. As you progress through the courses, you’ll cover topics such as data manipulation and joining data. You’ll also learn key statistics skills, like hypothesis testing. Get started today, grow your Python skills, and begin your journey to becoming a confident data analyst.",interactive course,data analytics,any,yes,36,,,https://app.datacamp.com/learn/career-tracks/data-analyst-with-python
17,datacamp,Data Analyst in Power BI,"Learn how to master Power BI—one of the world’s most popular business intelligence tools—in this interactive learning path, co-created with Microsoft to pass the official PL-300 Data Analyst with Power BI exam. There’s no prior experience required! You’ll learn how to import, clean, manipulate, and visualize data in Power BI—all critical skills for any aspiring data professional. Through hands-on exercises, you'll learn data analysis best practices and discover a world of Power BI functionalities, including data modeling, DAX, Power Query, and many others. You'll also receive a 50% discount code for the Microsoft PL-300 certification after completing the track to help you supercharge your data analyst career!",interactive course,data analytics,any,yes,48,,,https://app.datacamp.com/learn/career-tracks/data-analyst-in-power-bi
18,datacamp,Data Analyst in SQL,"Database design is critical for a high-performance application. Just like you wouldn't build a house without a blueprint, you need to plan how you’ll store your data beforehand. In this interactive SQL track, you'll learn the fundamentals of database design and how to: Write basic SQL queries, Group and aggregate data to produce summary statistics, Join tables and apply filters and sub-queries, Write functions to explore and manipulate data. Working with real-world datasets, gain the SQL skills you need to query a database, analyze results, and effectively communicate your insights to stakeholders. There’s no prior SQL knowledge required—start your journey to becoming a confident data analyst.",interactive course,data analytics,any,yes,39,,,https://app.datacamp.com/learn/career-tracks/data-analyst-in-sql
19,datacamp,Data Analyst in Tableau,"Learn how to master Tableau for data analysis, developing your skills and knowledge in one of the world’s most popular business intelligence tools. Throughout nine courses, you’ll learn how to use Tableau’s features to clean, analyze, and visualize data. This Tableau Data Analyst track requires no prior experience. Starting with the Tableau basics, you’ll explore how to analyze data and create dashboards before putting your newfound Tableau skills to the test with hands-on exercises and case studies. You’ll learn how to connect data, create impactful, presentation-ready data visualizations, and familiarize yourself with the feature of Tableau and how you can use them to your advantage. You’ll finish the track by learning how to leverage advanced calculations and apply statistical techniques. Once completed, you'll have most of the skills and knowledge required to pass Tableau’s Data Analyst certification, and you’ll have the confidence to use Tableau for your own data analyses.",interactive course,data analytics,any,yes,42,,,https://app.datacamp.com/learn/career-tracks/data-analyst-in-tableau
20,le wagon,Web Development,"Grasp programming foundations, write robust code with object-oriented programming and build MVC software from scratch. Master relational databases and SQL. Develop responsive web pages with HTML and CSS. Master modern JavaScript and all the tools and environment like Webpack and Node.js. Build complete web applications and deploy them online on real domain that everyone can access. You're not a real developer until you've pushed something in production! Understand product development tools & workflow. Validate your UX on Figma, organise team work and collaborate on GitHub. Cover your code with automated testing and continuous integration.",bootcamp,web development,beginner,yes,400,,,https://www.lewagon.com/web-development-course
21,le wagon,Data Analytics,"Discover business KPIs and learn how to collect data from various sources to run common analyses (churn, funnel, CAC, AB test, time to convert, etc..). Learn to extract data using APIs, automation tools or product tracking. Transform and load data on a warehouse building the right data layers and using advanced SQL. Communicate your results clearly using the right visualisations and building automated dashboards with the most used BI tools. Run analysis on big data sets using Python and Jupyter notebook. Learn the foundations of Machine Learning with Python to collaborate with data scientists or ML engineers.",bootcamp,data analytics,beginner,yes,400,,,https://www.lewagon.com/data-analytics-course
22,le wagon,Data Science,"Master the fundamental tools of programmatic data-analysts: Python as a backbone, SQL for queries and Jupyter Notebooks for visualization. Leverage statistics to build advanced analyses and take well-informed business decisions: statistical inferences, hypothesis testing, multivariate regression and confidence intervals. Master Machine Learning and Deep Learning workflows (data preparation, model selection, evaluation, and fine-tuning) and understand mathematical concepts and numerical implementations behind models. Package your models into replicable Python code that can be trained on big data in the cloud, using virtual machines and online databases. Monitor & retrain models when needed, and expose them to the world through APIs.",bootcamp,data science,beginner,yes,400,,,https://www.lewagon.com/data-science-course
23,le wagon,Data Engineering,"Begin by laying the foundation for your data engineering course. Familiarize yourself with the core approach of the program, delve into Python, and grasp the rudiments of data engineering in the cloud. Uncover the core aspects of SQL databases, gaining a solid understanding of both transactional and analytical paradigms. Develop your skills with PostgreSQL and BigQuery, two essential tools for any data engineer. Discover data storage strategies and understand the transformative shift from Docker to Kubernetes, providing a practical understanding of batch pipeline development. Explore the challenges and solutions involved in handling large-scale data workloads. Learn to manage the transfer, processing, and tracking of large datasets, acquiring the skills necessary to maintain data consistency and accuracy.",bootcamp,"data science, data analytics, database management",beginner,yes,400,,,https://info.lewagon.com/en/data-engineering
24,exercism,Python,"137 coding exercises for Python on Exercism. From Pascals Triangle to Reverse String. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/python
25,exercism,JavaScript,"141 coding exercises for JavaScript on Exercism. From Bob to OCR Numbers. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/javascript
26,exercism,Java,"133 coding exercises for Java on Exercism. From Resistor Color to Two Bucket. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/java
27,exercism,C++,"72 coding exercises for C++ on Exercism. From Collatz Conjecture to All Your Base. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/cpp
28,exercism,C,"73 coding exercises for C on Exercism. From Gigasecond to Difference of Squares. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/c
29,exercism,C#,"164 coding exercises for C# on Exercism. From Word Search to Saddle Points. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/csharp
30,exercism,Elixir,"157 coding exercises for Elixir on Exercism. From Allergies to Poker. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/elixir
31,exercism,Go,"140 coding exercises for Go on Exercism. From Custom Set to Expenses. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/go
32,exercism,PHP,"80 coding exercises for PHP on Exercism. From Robot Simulator to Connect. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/php
33,exercism,R,"40 coding exercises for R on Exercism. From Triangle to Secret Handshake. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/r
34,exercism,Ruby,"108 coding exercises for Ruby on Exercism. From Hello World to Resistor Color Duo. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/ruby
35,exercism,Swift,"98 coding exercises for Swift on Exercism. From Two Fer to Anagram. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/swift
36,exercism,TypeScript,"95 coding exercises for TypeScript on Exercism. From Knapsack to Clock. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",interactive course,programming language,beginner,no,70,,,https://exercism.org/tracks/typescript
37,codewars,Coding,Improve your development skills by training with your peers on code kata that continuously challenge and push your coding practice.,coding exercises,programming language,any,no,0,,,https://www.codewars.com/
38,codecademy,Fundamentals of Cybersecurity,"Learn the Cybersecurity fundamentals that will lay a foundation for securing your technology and personal life from dangerous cyber threats. Includes Cyber Attacks, Social Engineering, Threat Actors, Third-Party Risks, Intelligence Sources, and more. How do hackers gain access to a system? What is ransomware and why is it so dangerous? Does the average person need to be worried, or are only large companies at risk from threat actors? Using CompTIA’s Security+ Certification as a guide, learn the strategies attackers use, who these attackers are, and how you can strive to stay one step ahead.",interactive course,cybersecurity,beginner,yes,100,,,https://www.codecademy.com/learn/paths/fundamentals-of-cybersecurity
39,codecademy,Introduction to Cybersecurity,"Learn about the fast-growing field of cybersecurity and how to protect your data and information from digital attacks. Cybersecurity involves everyone and every entity — from you and your neighbors to organizations and companies to governments. It’s considered a fundamental necessity, and in this introduction to cybersecurity course, you’ll learn how to protect yourself and others from online attacks. This is a great starting point for anyone interested in learning cybersecurity but not sure where to start.",interactive course,cybersecurity,beginner,no,6,,,https://www.codecademy.com/learn/introduction-to-cybersecurity
40,codecademy,Introduction to Ethical Hacking,"In this course, you will learn what it means to be an Ethical Hacker, and practice tools and techniques used to hack ethically. Hacking is a neat skill to have. However, such a skill requires great responsibility. Learn about the responsibility an ethical hacker have in this introductory course to Ethical Hacking. In this course, you will get a peek into what it means to be an Ethical Hacker, practice hacking ethically, and learn the tools and techniques to be an efficient hacker.",interactive course,cybersecurity,beginner,no,6,,,https://www.codecademy.com/learn/introduction-to-ethical-hacking
41,codecademy,Full-Stack Engineer,"As a jack of all trades (and master of quite a few), a Full-Stack Engineer can get a project done from start to finish. Get the specialized skills and portfolio you need to start your career as a Full-Stack Engineer in this curated career path. Includes JavaScript, Node.JS, SQL, Express.JS, React, TDD, and more. Write live code, build projects, and practice for interviews. Finish in 4-8 months with a professional certification. Understand the full stack: Get to know the tools front-end developers use every day, plus server-side back-end JavaScript libraries. Build your own web app: Build the back-end of a web application and even create your own API. Prepare for your career: Get job-ready with portfolio projects, interview prep, and more.",interactive course,"programming language, fullstack development",beginner,yes,500,,,https://join.codecademy.com/learn/paths/full-stack-engineer-career-path-b/
42,codecademy,Data Scientist: Natural Language Processing Specialist,"If you want to turn human language into data and get an introduction to AI, this is the career path for you. Get the specialized skills and portfolio you need to start your career as a Natural Learning Processing Specialist in this curated career path. Includes Python 3, SQL, pandas, scikit-learn, SpaCy, NLTK, and more. Write live code, build projects, and practice for interviews. Finish in 26 weeks with a certificate of completion. In this path, you'll learn to extract meaning from text, create chatbots, and build neural networks. Get started in AI: Use deep learning to create chatbots that resemble human language. Turn language into data: Create models that can summarize at scale, identify sentiment, and spot emerging topics. Prepare for your career: Get job-ready with portfolio projects and more.",interactive course,"data science, machine learning, artificial intelligence",beginner,yes,500,,,https://join.codecademy.com/learn/paths/data-science-nlp-b/
43,codecademy,Data Scientist: Machine Learning Specialist,"In the world of data science, Machine Learning Specialists use algorithms to make predictions and solve problems. Get the specialized skills and portfolio you need to start your career as a Machine Learning Data Scientist in this curated career path. Includes Python 3, SQL, pandas, scikit-learn, Matplotlib and more. Write live code, build projects, and practice for interviews. Finish in 35 weeks with a professional certification. In this path, you’ll start with data science fundamentals, then dive deeper into drawing predictions with machine learning and even building neural networks. Organize complex data: Use NumPy, pandas, and SQL to talk to databases and manipulate tables. Dive into machine learning: Create models that can automate processes, recognize patterns, and make recommendations. Prepare for your career: Get job-ready with portfolio projects and more.",interactive course,"data science, machine learning",beginner,yes,500,,,https://join.codecademy.com/learn/paths/data-science-b/
44,codecademy,Back-End Engineer,"No matter what you’re building, having a strong foundation is crucial — that’s where Back-End Engineers come in. Get the specialized skills and portfolio you need to start your career as a Back-End Engineer in this curated career path. Includes JavaScript, Node.JS, Express.JS, PostgreSQL, SQL, and more. Write live code, build projects, and practice for interviews. Finish in 4-8 months with a professional certification. In this path, you’ll start with programming servers and client-side interfaces, then level up to designing databases. Navigate the back-end: Use JavaScript tools like Node.js and Express.js to build interactive web apps. Manage accounts and authentication: Ensure personalization and security for the people using your web apps. Prepare for your career: Get job-ready with portfolio projects, interview prep, and more.",interactive course,"programming language, backend development",beginner,yes,500,,,https://join.codecademy.com/learn/paths/back-end-engineer-career-path-b/
